"uf","municipio","codigo","nascidos_vivos","porc_premat","porc_gesta_multipla","porc_cesarea","porc_0_consulta","porc_7mais_consulta","porc_apgar1_menor_7","porc_apgar5_menor_7","porc_anomalia","porc_peso_menor_2500","porc_fem"
"RO","ALTA FLORESTA D'OESTE","110001",367,9.11602209944751,1.64383561643836,80.8219178082192,1.36239782016349,70.8446866485014,3.00546448087432,0.544959128065395,1.08991825613079,7.08446866485014,48.2288828337875
"RO","ALTO ALEGRE DOS PARECIS","110037",154,6.49350649350649,1.2987012987013,80.5194805194805,1.94805194805195,81.8181818181818,2.5974025974026,0.649350649350649,0,7.14285714285714,48.7012987012987
"RO","ALTO PARAISO","110040",226,8.44444444444444,0.884955752212389,74.7787610619469,1.76991150442478,76.9911504424779,4.42477876106195,0.442477876106195,1.32743362831858,5.30973451327434,48.6725663716814
"RO","ALVORADA D'OESTE","110034",205,6.15384615384615,1.46341463414634,71.7073170731707,3.90243902439024,75.1219512195122,4.39024390243902,1.46341463414634,0.490196078431372,6.82926829268293,46.3414634146341
"RO","ARIQUEMES","110002",1729,6.90655832849681,1.10272780034823,68.0161943319838,1.33024869866975,73.395026026605,6.65124349334876,0.867553499132447,0.868558193398958,5.37883169462117,44.9392712550607
"RO","BURITIS","110045",583,11.8760757314974,3.43642611683849,73.7564322469983,1.02915951972556,82.1612349914237,3.43053173241853,0.343642611683849,1.37221269296741,7.03259005145798,46.9982847341338
"RO","CABIXI","110003",80,5,0,75,0,90,3.75,0,1.25,2.5,56.25
"RO","CACAULANDIA","110060",75,10.6666666666667,2.73972602739726,74.6666666666667,1.33333333333333,76,6.66666666666667,1.33333333333333,0,6.66666666666667,40
"RO","CACOAL","110004",1374,10.2769679300292,0.728332119446468,81.0043668122271,0.655021834061135,77.6564774381368,2.76766205389658,0.291332847778587,0.43731778425656,5.53129548762737,51.6739446870451
"RO","CAMPO NOVO DE RONDONIA","110070",166,10.3030303030303,3.6144578313253,75.9036144578313,0.602409638554217,74.6987951807229,7.2289156626506,0.602409638554217,1.80722891566265,6.02409638554217,45.1807228915663
"RO","CANDEIAS DO JAMARI","110080",337,7.27848101265823,2.38805970149254,48.8095238095238,7.16417910447761,62.6865671641791,3.6144578313253,0,1.26984126984127,5.04451038575668,46.8842729970326
"RO","CASTANHEIRAS","110090",32,9.375,0,75,0,75,3.125,3.125,0,6.25,56.25
"RO","CEREJEIRAS","110005",237,11.1111111111111,1.26582278481013,75.5274261603376,1.26582278481013,79.3248945147679,2.96610169491525,0.851063829787234,1.27118644067797,10.5485232067511,49.789029535865
"RO","CHUPINGUAIA","110092",162,3.18471337579618,0,67.9012345679012,0,68.5185185185185,3.125,0.625,0.617283950617284,3.7037037037037,50.6172839506173
"RO","COLORADO DO OESTE","110006",214,5.60747663551402,4.67289719626168,74.7663551401869,1.40186915887851,78.0373831775701,3.27102803738318,0,0,10.2803738317757,50
"RO","CORUMBIARA","110007",127,5.51181102362205,0,70.8661417322835,0.78740157480315,87.4015748031496,2.36220472440945,0,0,3.1496062992126,44.8818897637795
"RO","COSTA MARQUES","110008",233,10.3139013452915,1.71673819742489,63.519313304721,0.858369098712446,79.3991416309013,12.5,1.29310344827586,0.862068965517241,6.00858369098712,49.7854077253219
"RO","CUJUBIM","110094",205,10.8374384236453,1.96078431372549,57.0731707317073,2.4390243902439,71.7073170731707,6.82926829268293,1.95121951219512,0.975609756097561,2.92682926829268,46.8292682926829
"RO","ESPIGAO D'OESTE","110009",450,8.80195599022005,1.77777777777778,83.7777777777778,1.77777777777778,67.7777777777778,6.25,1.78571428571429,0.222222222222222,6.66666666666667,48.2222222222222
"RO","GOVERNADOR JORGE TEIXEIRA","110100",112,7.27272727272727,0,68.4684684684685,0.892857142857143,82.1428571428571,0.892857142857143,0.892857142857143,0.900900900900901,4.46428571428571,51.7857142857143
"RO","GUAJARA-MIRIM","110010",781,16.7832167832168,1.02432778489116,38.7964148527529,6.15384615384615,38.2051282051282,3.12907431551499,0.521512385919166,0.900900900900901,5.7618437900128,49.2957746478873
"RO","ITAPUA DO OESTE","110110",109,7.47663551401869,0,48.1481481481482,7.3394495412844,81.651376146789,4.62962962962963,0.925925925925926,0.961538461538462,2.75229357798165,43.1192660550459
"RO","JARU","110011",881,8.25688073394496,1.81818181818182,71.2,1.13636363636364,85.6818181818182,2.15909090909091,0.908059023836549,0.572737686139748,5.67536889897843,46.311010215664
"RO","JI-PARANA","110012",2182,9.8974358974359,0.872359963269054,63.5737253100597,1.55891792755617,79.4589637780834,4.72043996333639,1.23796423658872,0.649350649350649,6.46196150320807,49.7478220999541
"RO","MACHADINHO D'OESTE","110013",500,14.3145161290323,2.00400801603206,59.8,1.80360721442886,73.3466933867735,7.64587525150905,2.62626262626263,0.404858299595142,9,44.6
"RO","MINISTRO ANDREAZZA","110120",84,13.0952380952381,8.33333333333333,86.9047619047619,0,69.0476190476191,5.95238095238095,0,0,8.33333333333333,44.047619047619
"RO","MIRANTE DA SERRA","110130",164,14.5569620253165,3.65853658536585,73.1707317073171,1.21951219512195,81.7073170731707,6.70731707317073,1.21951219512195,0,7.92682926829268,47.5609756097561
"RO","MONTE NEGRO","110140",199,7.57575757575758,1.50753768844221,72.3618090452261,1.50753768844221,67.3366834170854,7.53768844221105,1.50753768844221,0.505050505050505,8.04020100502512,39.1959798994975
"RO","NOVA BRASILANDIA D'OESTE","110014",261,10.4651162790698,1.53256704980843,88.5057471264368,0.383141762452107,78.9272030651341,10.3448275862069,3.06513409961686,1.53256704980843,7.66283524904215,51.3409961685824
